12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/03/2003,Merseyside,North West,Shoplifting,9710
31/03/2003,Merseyside,North West,Stalking and harassment,245
31/03/2003,Merseyside,North West,Theft from the person,3885
31/03/2003,Merseyside,North West,Vehicle offences,30168
31/03/2003,Merseyside,North West,Violence with injury,12663
31/03/2003,Merseyside,North West,Violence without injury,7072
31/03/2003,Metropolitan Police,London,All other theft offences,205233
31/03/2003,Metropolitan Police,London,Bicycle theft,15812
31/03/2003,Metropolitan Police,London,Criminal damage and arson,143386
31/03/2003,Metropolitan Police,London,Death or serious injury caused by illegal driving,44
31/03/2003,Metropolitan Police,London,Domestic burglary,72237
31/03/2003,Metropolitan Police,London,Drug offences,33311
31/03/2003,Metropolitan Police,London,Fraud offences,48403
31/03/2003,Metropolitan Police,London,Homicide,195
31/03/2003,Metropolitan Police,London,Miscellaneous crimes against society,12074
31/03/2003,Metropolitan Police,London,Non-domestic burglary,41190
31/03/2003,Metropolitan Police,London,Possession of weapons offences,9393
31/03/2003,Metropolitan Police,London,Public order offences,22964
31/03/2003,Metropolitan Police,London,Robbery,42493
31/03/2003,Metropolitan Police,London,Sexual offences,11002
31/03/2003,Metropolitan Police,London,Shoplifting,41999
31/03/2003,Metropolitan Police,London,Stalking and harassment,11364
31/03/2003,Metropolitan Police,London,Theft from the person,51876
31/03/2003,Metropolitan Police,London,Vehicle offences,176487
31/03/2003,Metropolitan Police,London,Violence with injury,44149
31/03/2003,Metropolitan Police,London,Violence without injury,96265
31/03/2003,Norfolk,East,All other theft offences,11237
31/03/2003,Norfolk,East,Bicycle theft,1888
31/03/2003,Norfolk,East,Criminal damage and arson,15939
31/03/2003,Norfolk,East,Death or serious injury caused by illegal driving,10
31/03/2003,Norfolk,East,Domestic burglary,3820
31/03/2003,Norfolk,East,Drug offences,1392
31/03/2003,Norfolk,East,Fraud offences,2048
31/03/2003,Norfolk,East,Homicide,10
31/03/2003,Norfolk,East,Miscellaneous crimes against society,990
31/03/2003,Norfolk,East,Non-domestic burglary,5861
31/03/2003,Norfolk,East,Possession of weapons offences,427
31/03/2003,Norfolk,East,Public order offences,1689
31/03/2003,Norfolk,East,Robbery,579
31/03/2003,Norfolk,East,Sexual offences,729
31/03/2003,Norfolk,East,Shoplifting,3730
31/03/2003,Norfolk,East,Stalking and harassment,178
31/03/2003,Norfolk,East,Theft from the person,750
31/03/2003,Norfolk,East,Vehicle offences,11440
31/03/2003,Norfolk,East,Violence with injury,4289
31/03/2003,Norfolk,East,Violence without injury,4264
31/03/2003,North Wales,Wales,All other theft offences,8531
31/03/2003,North Wales,Wales,Bicycle theft,850
31/03/2003,North Wales,Wales,Criminal damage and arson,16982
31/03/2003,North Wales,Wales,Death or serious injury caused by illegal driving,6
31/03/2003,North Wales,Wales,Domestic burglary,3227
31/03/2003,North Wales,Wales,Drug offences,1830
31/03/2003,North Wales,Wales,Fraud offences,1048
31/03/2003,North Wales,Wales,Homicide,11
31/03/2003,North Wales,Wales,Miscellaneous crimes against society,956
31/03/2003,North Wales,Wales,Non-domestic burglary,5307
31/03/2003,North Wales,Wales,Possession of weapons offences,307
31/03/2003,North Wales,Wales,Public order offences,1465
31/03/2003,North Wales,Wales,Robbery,224
31/03/2003,North Wales,Wales,Sexual offences,689
31/03/2003,North Wales,Wales,Shoplifting,4020
31/03/2003,North Wales,Wales,Stalking and harassment,160
31/03/2003,North Wales,Wales,Theft from the person,561
31/03/2003,North Wales,Wales,Vehicle offences,9067
31/03/2003,North Wales,Wales,Violence with injury,6360
31/03/2003,North Wales,Wales,Violence without injury,3466
31/03/2003,North Yorkshire,Yorkshire and The Humber,All other theft offences,9991
31/03/2003,North Yorkshire,Yorkshire and The Humber,Bicycle theft,2331
31/03/2003,North Yorkshire,Yorkshire and The Humber,Criminal damage and arson,13121
31/03/2003,North Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,4
31/03/2003,North Yorkshire,Yorkshire and The Humber,Domestic burglary,4766
31/03/2003,North Yorkshire,Yorkshire and The Humber,Drug offences,1582
31/03/2003,North Yorkshire,Yorkshire and The Humber,Fraud offences,1897
31/03/2003,North Yorkshire,Yorkshire and The Humber,Homicide,3
31/03/2003,North Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,858
31/03/2003,North Yorkshire,Yorkshire and The Humber,Non-domestic burglary,6745
31/03/2003,North Yorkshire,Yorkshire and The Humber,Possession of weapons offences,294
31/03/2003,North Yorkshire,Yorkshire and The Humber,Public order offences,1834
31/03/2003,North Yorkshire,Yorkshire and The Humber,Robbery,356
31/03/2003,North Yorkshire,Yorkshire and The Humber,Sexual offences,501
31/03/2003,North Yorkshire,Yorkshire and The Humber,Shoplifting,4604
31/03/2003,North Yorkshire,Yorkshire and The Humber,Stalking and harassment,197
31/03/2003,North Yorkshire,Yorkshire and The Humber,Theft from the person,1341
31/03/2003,North Yorkshire,Yorkshire and The Humber,Vehicle offences,10697
31/03/2003,North Yorkshire,Yorkshire and The Humber,Violence with injury,2005
31/03/2003,North Yorkshire,Yorkshire and The Humber,Violence without injury,4112
31/03/2003,Northamptonshire,East Midlands,All other theft offences,9159
31/03/2003,Northamptonshire,East Midlands,Bicycle theft,1053
31/03/2003,Northamptonshire,East Midlands,Criminal damage and arson,15637
31/03/2003,Northamptonshire,East Midlands,Death or serious injury caused by illegal driving,5
31/03/2003,Northamptonshire,East Midlands,Domestic burglary,4871
31/03/2003,Northamptonshire,East Midlands,Drug offences,979
31/03/2003,Northamptonshire,East Midlands,Fraud offences,3627
31/03/2003,Northamptonshire,East Midlands,Homicide,9
31/03/2003,Northamptonshire,East Midlands,Miscellaneous crimes against society,957
31/03/2003,Northamptonshire,East Midlands,Non-domestic burglary,6510
31/03/2003,Northamptonshire,East Midlands,Possession of weapons offences,325
31/03/2003,Northamptonshire,East Midlands,Public order offences,1195
31/03/2003,Northamptonshire,East Midlands,Robbery,1015
31/03/2003,Northamptonshire,East Midlands,Sexual offences,678
31/03/2003,Northamptonshire,East Midlands,Shoplifting,3948
31/03/2003,Northamptonshire,East Midlands,Stalking and harassment,495
31/03/2003,Northamptonshire,East Midlands,Theft from the person,937
31/03/2003,Northamptonshire,East Midlands,Vehicle offences,13974
31/03/2003,Northamptonshire,East Midlands,Violence with injury,5113
31/03/2003,Northamptonshire,East Midlands,Violence without injury,3022
31/03/2003,Northumbria,North East,All other theft offences,19122
31/03/2003,Northumbria,North East,Bicycle theft,2387
31/03/2003,Northumbria,North East,Criminal damage and arson,41867
31/03/2003,Northumbria,North East,Death or serious injury caused by illegal driving,12
31/03/2003,Northumbria,North East,Domestic burglary,11179
31/03/2003,Northumbria,North East,Drug offences,6040
31/03/2003,Northumbria,North East,Fraud offences,3841
31/03/2003,Northumbria,North East,Homicide,19
31/03/2003,Northumbria,North East,Miscellaneous crimes against society,2731
31/03/2003,Northumbria,North East,Non-domestic burglary,11525
31/03/2003,Northumbria,North East,Possession of weapons offences,1246
31/03/2003,Northumbria,North East,Public order offences,5072
31/03/2003,Northumbria,North East,Robbery,1442
31/03/2003,Northumbria,North East,Sexual offences,1650
31/03/2003,Northumbria,North East,Shoplifting,10911
31/03/2003,Northumbria,North East,Stalking and harassment,707
31/03/2003,Northumbria,North East,Theft from the person,2965
31/03/2003,Northumbria,North East,Vehicle offences,23610
31/03/2003,Northumbria,North East,Violence with injury,7881
31/03/2003,Northumbria,North East,Violence without injury,11289
31/03/2003,Nottinghamshire,East Midlands,All other theft offences,20739
31/03/2003,Nottinghamshire,East Midlands,Bicycle theft,2608
31/03/2003,Nottinghamshire,East Midlands,Criminal damage and arson,23876
31/03/2003,Nottinghamshire,East Midlands,Death or serious injury caused by illegal driving,11
31/03/2003,Nottinghamshire,East Midlands,Domestic burglary,16418
31/03/2003,Nottinghamshire,East Midlands,Drug offences,2352
31/03/2003,Nottinghamshire,East Midlands,Fraud offences,5095
31/03/2003,Nottinghamshire,East Midlands,Homicide,18
31/03/2003,Nottinghamshire,East Midlands,Miscellaneous crimes against society,1690
31/03/2003,Nottinghamshire,East Midlands,Non-domestic burglary,16772
31/03/2003,Nottinghamshire,East Midlands,Possession of weapons offences,694
31/03/2003,Nottinghamshire,East Midlands,Public order offences,2381
31/03/2003,Nottinghamshire,East Midlands,Robbery,2799
31/03/2003,Nottinghamshire,East Midlands,Sexual offences,1163
31/03/2003,Nottinghamshire,East Midlands,Shoplifting,9578
31/03/2003,Nottinghamshire,East Midlands,Stalking and harassment,413
31/03/2003,Nottinghamshire,East Midlands,Theft from the person,3924
31/03/2003,Nottinghamshire,East Midlands,Vehicle offences,37698
31/03/2003,Nottinghamshire,East Midlands,Violence with injury,10630
31/03/2003,Nottinghamshire,East Midlands,Violence without injury,2544
31/03/2003,South Wales,Wales,All other theft offences,17388
31/03/2003,South Wales,Wales,Bicycle theft,1717
31/03/2003,South Wales,Wales,Criminal damage and arson,30697
31/03/2003,South Wales,Wales,Death or serious injury caused by illegal driving,11
31/03/2003,South Wales,Wales,Domestic burglary,8060
31/03/2003,South Wales,Wales,Drug offences,3872
31/03/2003,South Wales,Wales,Fraud offences,3132
31/03/2003,South Wales,Wales,Homicide,11
31/03/2003,South Wales,Wales,Miscellaneous crimes against society,2024
31/03/2003,South Wales,Wales,Non-domestic burglary,10555
31/03/2003,South Wales,Wales,Possession of weapons offences,846
31/03/2003,South Wales,Wales,Public order offences,4546
31/03/2003,South Wales,Wales,Robbery,784
31/03/2003,South Wales,Wales,Sexual offences,846
31/03/2003,South Wales,Wales,Shoplifting,6988
31/03/2003,South Wales,Wales,Stalking and harassment,898
31/03/2003,South Wales,Wales,Theft from the person,2536
31/03/2003,South Wales,Wales,Vehicle offences,33702
31/03/2003,South Wales,Wales,Violence with injury,10635
31/03/2003,South Wales,Wales,Violence without injury,4124
31/03/2003,South Yorkshire,Yorkshire and The Humber,All other theft offences,18187
31/03/2003,South Yorkshire,Yorkshire and The Humber,Bicycle theft,1787
31/03/2003,South Yorkshire,Yorkshire and The Humber,Criminal damage and arson,29777
31/03/2003,South Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,19
31/03/2003,South Yorkshire,Yorkshire and The Humber,Domestic burglary,17836
31/03/2003,South Yorkshire,Yorkshire and The Humber,Drug offences,3448
31/03/2003,South Yorkshire,Yorkshire and The Humber,Fraud offences,2791
31/03/2003,South Yorkshire,Yorkshire and The Humber,Homicide,25
31/03/2003,South Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,2300
31/03/2003,South Yorkshire,Yorkshire and The Humber,Non-domestic burglary,16632
31/03/2003,South Yorkshire,Yorkshire and The Humber,Possession of weapons offences,895
31/03/2003,South Yorkshire,Yorkshire and The Humber,Public order offences,1788
31/03/2003,South Yorkshire,Yorkshire and The Humber,Robbery,2112
31/03/2003,South Yorkshire,Yorkshire and The Humber,Sexual offences,885
31/03/2003,South Yorkshire,Yorkshire and The Humber,Shoplifting,8214
31/03/2003,South Yorkshire,Yorkshire and The Humber,Stalking and harassment,422
31/03/2003,South Yorkshire,Yorkshire and The Humber,Theft from the person,2681
31/03/2003,South Yorkshire,Yorkshire and The Humber,Vehicle offences,32498
31/03/2003,South Yorkshire,Yorkshire and The Humber,Violence with injury,4980
31/03/2003,South Yorkshire,Yorkshire and The Humber,Violence without injury,4780
31/03/2003,Staffordshire,West Midlands,All other theft offences,15101
31/03/2003,Staffordshire,West Midlands,Bicycle theft,1235
31/03/2003,Staffordshire,West Midlands,Criminal damage and arson,22992
31/03/2003,Staffordshire,West Midlands,Death or serious injury caused by illegal driving,5
31/03/2003,Staffordshire,West Midlands,Domestic burglary,6458
31/03/2003,Staffordshire,West Midlands,Drug offences,2264
31/03/2003,Staffordshire,West Midlands,Fraud offences,2766
31/03/2003,Staffordshire,West Midlands,Homicide,7
31/03/2003,Staffordshire,West Midlands,Miscellaneous crimes against society,1847
31/03/2003,Staffordshire,West Midlands,Non-domestic burglary,8714
31/03/2003,Staffordshire,West Midlands,Possession of weapons offences,500
31/03/2003,Staffordshire,West Midlands,Public order offences,3032
31/03/2003,Staffordshire,West Midlands,Robbery,900
31/03/2003,Staffordshire,West Midlands,Sexual offences,1290
31/03/2003,Staffordshire,West Midlands,Shoplifting,5889
31/03/2003,Staffordshire,West Midlands,Stalking and harassment,928
31/03/2003,Staffordshire,West Midlands,Theft from the person,1478
31/03/2003,Staffordshire,West Midlands,Vehicle offences,17006
31/03/2003,Staffordshire,West Midlands,Violence with injury,9793
31/03/2003,Staffordshire,West Midlands,Violence without injury,6421
31/03/2003,Suffolk,East,All other theft offences,6639
31/03/2003,Suffolk,East,Bicycle theft,1439
31/03/2003,Suffolk,East,Criminal damage and arson,11434
31/03/2003,Suffolk,East,Death or serious injury caused by illegal driving,5
31/03/2003,Suffolk,East,Domestic burglary,2284
31/03/2003,Suffolk,East,Drug offences,1689
31/03/2003,Suffolk,East,Fraud offences,1682
31/03/2003,Suffolk,East,Homicide,5
31/03/2003,Suffolk,East,Miscellaneous crimes against society,1057
31/03/2003,Suffolk,East,Non-domestic burglary,3964
31/03/2003,Suffolk,East,Possession of weapons offences,360
31/03/2003,Suffolk,East,Public order offences,1528
31/03/2003,Suffolk,East,Robbery,249
31/03/2003,Suffolk,East,Sexual offences,634
31/03/2003,Suffolk,East,Shoplifting,3289
31/03/2003,Suffolk,East,Stalking and harassment,180
31/03/2003,Suffolk,East,Theft from the person,575
31/03/2003,Suffolk,East,Vehicle offences,7152
31/03/2003,Suffolk,East,Violence with injury,3667
31/03/2003,Suffolk,East,Violence without injury,2483
31/03/2003,Surrey,South East,All other theft offences,11939
31/03/2003,Surrey,South East,Bicycle theft,1085
31/03/2003,Surrey,South East,Criminal damage and arson,13614
31/03/2003,Surrey,South East,Death or serious injury caused by illegal driving,8
31/03/2003,Surrey,South East,Domestic burglary,4140
